OID_,PWSID,State,PWS_Name,Primacy_Agency,Pop_Cat_5,Population_Served_Count,Service_Connections_Count,Method,Service_Area_Type,Symbology_Field,Original_Data_Provider,Data_Provider_Type,Boundary_Method,Method_Basis,Method_Details,System_Type,Verification_Status,Verification_Process,Verifier_Type,Publisher_Owner,Data_Source_Link,Secondary_ID,Secondary_ID_Source,Detailed_Facility_Report,Date_Created,Date_Modified,Verification_Date,ORIG_FID,x,y
1,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.326776100000004,35.059974500000003
2,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.325913700000001,35.020271399999999
3,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.324777800000007,35.026112699999999
4,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.323076299999997,35.031241999999999
5,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.319659200000004,35.033824400000000
6,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.317223200000001,35.037598500000001
7,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.316129099999998,35.037771100000001
8,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.315518499999996,35.037059900000003
9,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.317848100000006,35.033070299999999
10,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.321411400000002,35.030290500000000
11,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.324827200000001,35.017401300000003
12,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.323386799999994,35.016085799999999
13,NC0382010,NC,"CLINTON, CITY OF",North Carolina,"10,001-100,000",12459,4964,State,Residential Area,STATE,,,,,System map is not GIS format,,Verified ,,Municipality,NC Center for Geographic Information & Analysis,https://www.nconemap.gov/datasets/nconemap::type-a-current-public-water-systems-2004/about,,,https://echo.epa.gov/detailed-facility-report?fid=NC0382010&sys=SDWIS,,,,1,-78.319661300000007,35.019350000000003
