id,year,month,geoid,cii.indoor.demand,cii.indoor.total_use,cii.total_use,indoor.demand,outdoor.demand
1,2014,1,60375550011,467663.6,467663.6,467663.6,1.5588786e+06,1.5274195e+06
2,2014,1,60375550012,273278.72,273278.72,273278.72,910929.1,374616.75
3,2014,1,60375550013,485448.2,485448.2,485448.2,1.6181606e+06,723458.75
4,2014,1,60375550014,959361.94,959361.94,959361.94,3.197873e+06,1.04652606e+06
5,2014,1,60375550021,542746.3,542746.3,542746.3,1.8091545e+06,859747.25
6,2014,1,60375550022,919051.2,919051.2,919051.2,3.063504e+06,1.5284788e+06
7,2014,1,60375551021,1.5695571e+06,1.5695571e+06,1.5695571e+06,5.231857e+06,1.7632762e+06
8,2014,1,60375551022,958623.4,958623.4,958623.4,3.1954112e+06,513729.88
9,2014,1,60375551031,1.0546266e+06,1.0546266e+06,1.0546266e+06,3.5154222e+06,1.2830889e+06
10,2014,1,60375551032,866600.25,866600.25,866600.25,2.8886675e+06,1.2308332e+06
11,2014,1,60375551041,1.02881206e+06,1.02881206e+06,1.02881206e+06,3.4293735e+06,1.3522924e+06
12,2014,1,60375700011,506222.84,506222.84,506222.84,1.6874095e+06,1.6668858e+06
13,2014,1,60375700012,334855.6,334855.6,334855.6,1.1161852e+06,460414.97
14,2014,1,60375700013,604127.3,604127.3,604127.3,2.0137578e+06,1.4437399e+06
15,2014,1,60375700014,452881.97,452881.97,452881.97,1.5096065e+06,843505.6
16,2014,1,60375700021,387889.5,387889.5,387889.5,1.292965e+06,904588.25
17,2014,1,60375700022,306911.62,306911.62,306911.62,1.02303875e+06,585051.9
18,2014,1,60375700023,453590.34,453590.34,453590.34,1.5119679e+06,998860.3
19,2014,1,60375700031,428186.53,428186.53,428186.53,1.4272885e+06,1.0719476e+06
20,2014,1,60375700032,515247.56,515247.56,515247.56,1.7174919e+06,869633.44
21,2014,1,60375700033,309679.03,309679.03,309679.03,1.0322634e+06,558217.9
22,2014,1,60375700034,264153.12,264153.12,264153.12,880510.44,519379.12
23,2014,1,60375700035,356976.2,356976.2,356976.2,1.1899206e+06,657433
24,2014,1,60375707011,332760.47,332760.47,332760.47,1.1092016e+06,611885.75
25,2014,1,60375707012,1.1354621e+06,1.1354621e+06,1.1354621e+06,3.784874e+06,1.0797154e+06
26,2014,1,60375707013,278684.44,278684.44,278684.44,928948.1,545506.94
27,2014,1,60375707014,333118.3,333118.3,333118.3,1.1103944e+06,645781.4
28,2014,1,60375707015,853038.6,853038.6,853038.6,2.843462e+06,1.7163168e+06
29,2014,1,60375707021,608824.8,608824.8,608824.8,2.0294161e+06,932481.56
30,2014,1,60375707022,435088,435088,435088,1.4502932e+06,914121.4
31,2014,1,60375708001,529589.4,529589.4,529589.4,1.7652979e+06,1.0984286e+06
32,2014,1,60375708002,527581.25,527581.25,527581.25,1.7586041e+06,1.0165143e+06
33,2014,1,60375708003,511550.3,511550.3,511550.3,1.7051678e+06,1.6852458e+06
34,2014,1,60375708004,423305.84,423305.84,423305.84,1.4110195e+06,831147.8
35,2014,1,60375708005,387187.88,387187.88,387187.88,1.2906262e+06,1.7159636e+06
36,2014,1,60375709011,574410.7,574410.7,574410.7,1.9147024e+06,1.1838738e+06
37,2014,1,60375709012,543808.1,543808.1,543808.1,1.8126938e+06,1.2710842e+06
38,2014,1,60375709013,536395.25,536395.25,536395.25,1.7879841e+06,1.1443289e+06
39,2014,1,60375709014,298181.75,298181.75,298181.75,993939.1,587876.44
40,2014,1,60375709015,453097.38,453097.38,453097.38,1.5103246e+06,1.0705354e+06
41,2014,1,60375709021,468444.22,468444.22,468444.22,1.5614808e+06,895408.25
42,2014,1,60375709022,603102.25,603102.25,603102.25,2.0103408e+06,1.2551958e+06
43,2014,1,60375709023,495882.16,495882.16,495882.16,1.6529405e+06,1.0101588e+06
44,2014,1,60375710001,453377.12,453377.12,453377.12,1.5112571e+06,1.6103931e+06
45,2014,1,60375710002,390193.28,390193.28,390193.28,1.3006442e+06,1.00062575e+06
46,2014,1,60375710003,426432.34,426432.34,426432.34,1.4214411e+06,757001.25
47,2014,1,60375710004,344107.94,344107.94,344107.94,1.1470265e+06,543388.5
48,2014,1,60375710005,315023.2,315023.2,315023.2,1.0500772e+06,623890.5
49,2014,1,60375710006,557650.6,557650.6,557650.6,1.8588354e+06,787719.1
50,2014,1,60375711011,311273.97,311273.97,311273.97,1.0375799e+06,499253.66
51,2014,1,60375711012,352237.34,352237.34,352237.34,1.1741245e+06,594231.9
52,2014,1,60375711013,481158.3,481158.3,481158.3,1.603861e+06,853038.75
53,2014,1,60375711014,518114.16,518114.16,518114.16,1.7270472e+06,798311.5
54,2014,1,60375711015,307053.75,307053.75,307053.75,1.0235125e+06,1.0881892e+06
55,2014,1,60375711021,348836.28,348836.28,348836.28,1.1627876e+06,575518.7
56,2014,1,60375711022,386547.88,386547.88,386547.88,1.2884929e+06,645075.25
57,2014,1,60375711023,358965.2,358965.2,358965.2,1.1965506e+06,960374.75
58,2014,1,60375711024,264517.72,264517.72,264517.72,881725.75,925066.8
59,2014,1,60375711025,314889.6,314889.6,314889.6,1.049632e+06,509492.88
60,2014,1,60375713001,559949.8,559949.8,559949.8,1.8664994e+06,1.4006642e+06
61,2014,1,60375713002,419342.7,419342.7,419342.7,1.397809e+06,3.465823e+06
62,2014,1,60375713003,624700,624700,624700,2.0823332e+06,1.5983884e+06
